otu	statistic	p.value	parameter	method	WM	WMR	CWM	p.value.adj
Porphyromonadaceae (OTU 514)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Ruminococcaceae (OTU 526)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Proteus (OTU 533)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridium (OTU 536)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Pasteurellaceae (OTU 558)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Erysipelotrichaceae (OTU 569)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 571)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridium (OTU 573)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 578)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridium (OTU 587)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Curvibacter (OTU 600)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Erysipelotrichaceae (OTU 604)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 609)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridium (OTU 612)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 620)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridium (OTU 622)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Streptococcus (OTU 647)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Mucispirillum (OTU 653)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteroidales (OTU 660)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Ruminococcaceae (OTU 666)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteroidetes (OTU 672)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 674)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 693)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Senegalimassilia (OTU 728)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 731)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Carnobacteriaceae (OTU 734)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Collinsella (OTU 744)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Aestuariispira (OTU 749)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 750)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 761)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteroidales (OTU 784)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridium (OTU 794)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 802)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 806)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Fusobacterium (OTU 813)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 822)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 829)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Akkermansia (OTU 896)	3.666666666666647	0.1598797460796955	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Firmicutes (OTU 936)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Brachybacterium (OTU 953)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Alloprevotella (OTU 1009)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Ruminococcus (OTU 1022)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 1064)	3.666666666666647	0.1598797460796955	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 1100)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Ruminococcaceae (OTU 1101)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 1106)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 1109)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 1126)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteria (OTU 1188)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 1263)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Prevotella (OTU 1340)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 1341)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 1351)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Acetatifactor (OTU 1355)	3.666666666666647	0.1598797460796955	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 1393)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Firmicutes (OTU 1438)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 1447)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Coriobacteriaceae (OTU 1498)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteroidales (OTU 1503)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 1577)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Flavobacteriaceae (OTU 1652)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 2278)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 2434)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Ruminococcaceae (OTU 2467)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 2533)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Prevotella (OTU 2850)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Cystobacter (OTU 2944)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 3088)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteroidetes (OTU 3234)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Faecalibacterium (OTU 3242)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Alistipes (OTU 4292)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Ruminococcaceae (OTU 98)	1.4370404411764817	0.4874730751221122	2	Kruskal-Wallis rank sum test	0	0	0	0.5646270870119429
Lachnospiraceae (OTU 113)	1.4105159735453885	0.49398111722153026	2	Kruskal-Wallis rank sum test	0	0	0	0.5701144076893647
Porphyromonadaceae (OTU 10)	1.4018133041804197	0.496135277727123	2	Kruskal-Wallis rank sum test	0	0	0	0.5705555693861915
Lachnospiraceae (OTU 4)	1.3017270168407897	0.521595180411821	2	Kruskal-Wallis rank sum test	0.071	0.083	0.1105	0.5960481726721926
Lactobacillus (OTU 13)	1.300156526316365	0.5220049214085661	2	Kruskal-Wallis rank sum test	0.006	0.003	0.006	0.5960481726721926
Clostridium (OTU 22)	1.279937648429146	0.527308863054766	2	Kruskal-Wallis rank sum test	0.013	0.012	0.0195	0.599976868917437
Dorea (OTU 134)	1.2671875000000328	0.5306812343277747	2	Kruskal-Wallis rank sum test	0	0	0	0.6016878783575474
Lachnospiraceae (OTU 123)	1.2221791436740743	0.5427591716768737	2	Kruskal-Wallis rank sum test	0	0	0	0.6110785079718648
Clostridium (OTU 172)	1.2290723981900429	0.5408917032037976	2	Kruskal-Wallis rank sum test	0	0	0	0.6110785079718648
Bifidobacterium (OTU 28)	1.1894059778814712	0.5517264103803805	2	Kruskal-Wallis rank sum test	0	0	0	0.6127411233235394
Porphyromonadaceae (OTU 40)	1.1834910276201065	0.5533605427798872	2	Kruskal-Wallis rank sum test	0	0	0	0.6127411233235394
Porphyromonadaceae (OTU 44)	1.1894059778814712	0.5517264103803805	2	Kruskal-Wallis rank sum test	0	0	0	0.6127411233235394
Lachnospiraceae (OTU 72)	1.1870147151078088	0.5523864663067352	2	Kruskal-Wallis rank sum test	0.003	0.002	0.003	0.6127411233235394
Coriobacteriaceae (OTU 158)	1.1820820433437078	0.5537505182830743	2	Kruskal-Wallis rank sum test	0	0	0	0.6127411233235394
Enterobacteriaceae (OTU 176)	1.1660743935273783	0.5582004248552391	2	Kruskal-Wallis rank sum test	0	0	0	0.6155497835732431
Lachnospiraceae (OTU 104)	1.1507113368524065	0.5625047680387223	2	Kruskal-Wallis rank sum test	0	0	0	0.6160766507090768
Ruminococcaceae (OTU 207)	1.1544117647058296	0.5614649760984456	2	Kruskal-Wallis rank sum test	0	0	0	0.6160766507090768
Oscillibacter (OTU 45)	1.040938446350183	0.5942416505886932	2	Kruskal-Wallis rank sum test	0	0.012	0.001	0.6486298694561328
Lachnospiraceae (OTU 30)	1.004491025166096	0.6051702155031901	2	Kruskal-Wallis rank sum test	0.019	0.017	0.0155	0.6583270587568487
Lactobacillus (OTU 23)	0.9057469422530996	0.635798575414691	2	Kruskal-Wallis rank sum test	0.001	0.003	0.0015	0.6893169740186211
Lachnospiraceae (OTU 82)	0.8743966847878396	0.6458433205958376	2	Kruskal-Wallis rank sum test	0	0	0	0.6978575477579185
Ruminococcaceae (OTU 60)	0.8663545784630079	0.6484455192058033	2	Kruskal-Wallis rank sum test	0	0.004	0	0.6983259437600958
Lachnospiraceae (OTU 66)	0.6664555851740379	0.7166069378138723	2	Kruskal-Wallis rank sum test	0	0	0	0.7691581132535562
Lachnospiraceae (OTU 150)	0.659198471055123	0.7192119102643396	2	Kruskal-Wallis rank sum test	0	0	0	0.7693894853990609
Alistipes (OTU 18)	0.6193430345649333	0.7336879204477612	2	Kruskal-Wallis rank sum test	0	0	0	0.7822765244509241
Ruminococcus (OTU 93)	0.5664006456240512	0.7533688557749709	2	Kruskal-Wallis rank sum test	0	0	0	0.7854842015090919
Ruminococcaceae (OTU 106)	0.5664006456240512	0.7533688557749709	2	Kruskal-Wallis rank sum test	0	0	0	0.7854842015090919
Lachnospiraceae (OTU 117)	0.5588683644189125	0.7562114983472623	2	Kruskal-Wallis rank sum test	0	0	0	0.7854842015090919
Firmicutes (OTU 129)	0.5664006456240512	0.7533688557749709	2	Kruskal-Wallis rank sum test	0	0	0	0.7854842015090919
Clostridiales (OTU 130)	0.5614889705881568	0.7552212809724663	2	Kruskal-Wallis rank sum test	0	0	0	0.7854842015090919
Lachnospiraceae (OTU 259)	0.5614889705881568	0.7552212809724663	2	Kruskal-Wallis rank sum test	0	0	0	0.7854842015090919
Phenylobacterium (OTU 332)	0.5614889705881568	0.7552212809724663	2	Kruskal-Wallis rank sum test	0	0	0	0.7854842015090919
Porphyromonadaceae (OTU 414)	0.5664006456240512	0.7533688557749709	2	Kruskal-Wallis rank sum test	0	0	0	0.7854842015090919
Lachnospiraceae (OTU 41)	0.5328254469966656	0.7661228653319615	2	Kruskal-Wallis rank sum test	0	0.002	0	0.793220458639523
Porphyromonadaceae (OTU 25)	0.4360959836623517	0.8040868511401413	2	Kruskal-Wallis rank sum test	0	0	0	0.8285117664876818
Clostridiales (OTU 91)	0.4329451901257825	0.8053546053125602	2	Kruskal-Wallis rank sum test	0.002	0.001	0.001	0.8285117664876818
Lachnospiraceae (OTU 29)	0.41786223237611503	0.8114511295653056	2	Kruskal-Wallis rank sum test	0	0	0	0.829483376888979
Lachnospiraceae (OTU 76)	0.4206398554635082	0.8103249590697248	2	Kruskal-Wallis rank sum test	0	0	5e-4	0.829483376888979
Clostridiales (OTU 199)	0.2671149656443503	0.874977171374857	2	Kruskal-Wallis rank sum test	0	0	0	0.8915906619705822
Bacteria (OTU 43)	0.23634416373389489	0.8885431372960888	2	Kruskal-Wallis rank sum test	0	0	0	0.8997197805325176
Porphyromonadaceae (OTU 67)	0.23768090441843964	0.8879494598355947	2	Kruskal-Wallis rank sum test	0	0	0	0.8997197805325176
Ruminococcaceae (OTU 61)	0.2124831065128394	0.8992074153609683	2	Kruskal-Wallis rank sum test	0	0	0	0.9076639114301936
Ruminococcaceae (OTU 52)	0.17044580258118122	0.9183075696442804	2	Kruskal-Wallis rank sum test	0.001	0	5e-4	0.9240469919545572
Porphyromonadaceae (OTU 8)	0.09045211384833267	0.9557813964075694	2	Kruskal-Wallis rank sum test	0	0	0	0.9571292722430147
Lachnospiraceae (OTU 17)	0.08763363187611371	0.9571292722430147	2	Kruskal-Wallis rank sum test	0.006	0.01	0.0125	0.9571292722430147
Clostridium_sensu (OTU 53)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaeroplasma (OTU 89)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 105)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 112)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 122)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 124)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 128)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 136)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Alistipes (OTU 139)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 141)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcaceae (OTU 143)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 144)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 148)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 151)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaerostipes (OTU 159)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 161)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 168)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcaceae (OTU 169)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 170)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 177)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 180)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 184)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridium (OTU 186)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Firmicutes (OTU 188)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 190)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 195)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 203)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Coriobacteriaceae (OTU 204)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 205)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 208)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 211)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 212)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 214)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 215)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcaceae (OTU 216)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcaceae (OTU 217)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcaceae (OTU 219)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 220)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lactobacillus (OTU 221)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 222)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 223)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 224)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 225)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 226)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 227)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Listeria (OTU 228)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 232)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaerotruncus (OTU 234)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Firmicutes (OTU 235)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Oscillibacter (OTU 236)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 239)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Pseudoflavonifractor (OTU 240)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 241)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lactobacillales (OTU 242)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 243)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 246)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Acetatifactor (OTU 247)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 248)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Akkermansia (OTU 250)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 251)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Coriobacteriaceae (OTU 252)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 253)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 254)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 255)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteroides (OTU 256)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Streptococcus (OTU 257)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 258)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Coriobacteriaceae (OTU 260)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Acetatifactor (OTU 263)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Akkermansia (OTU 264)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Coriobacteriaceae (OTU 265)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 266)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 269)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Firmicutes (OTU 270)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 271)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 272)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Blautia (OTU 273)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Olsenella (OTU 274)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Parabacteroides (OTU 275)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 278)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Firmicutes (OTU 279)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 280)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteroides (OTU 282)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 283)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales_Incertae_Sedis_XIII (OTU 284)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 285)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 287)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 288)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 290)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 291)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 292)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 293)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 295)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Pseudomonas (OTU 298)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Turicibacter (OTU 299)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 300)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 301)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaeroplasma (OTU 302)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 303)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteroidetes (OTU 304)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 305)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Akkermansia (OTU 306)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 307)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcaceae (OTU 308)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteroides (OTU 309)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 311)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 312)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 313)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 314)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 317)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 318)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 321)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 322)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridia (OTU 323)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Akkermansia (OTU 324)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 325)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 326)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
