otu	statistic	p.value	parameter	method	WM	C	WMC	p.value.adj
Lachnospiraceae (OTU 365)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteroides (OTU 367)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Ruminococcaceae (OTU 376)	1.911145844758728	0.3845917402068332	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Clostridium (OTU 389)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Pseudomonas (OTU 392)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Clostridiales (OTU 395)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Akkermansia (OTU 406)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 441)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 475)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Ruminococcus (OTU 485)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 487)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteria (OTU 491)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 492)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 496)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Akkermansia (OTU 512)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 514)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Chitinophagaceae (OTU 523)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Ruminococcaceae (OTU 526)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 542)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lactococcus (OTU 548)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteria (OTU 567)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 581)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Curvibacter (OTU 600)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 613)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Mucispirillum (OTU 653)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Clostridia (OTU 671)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 678)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteroidales (OTU 709)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 721)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 787)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Actinomycetales (OTU 801)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Butyrivibrio (OTU 852)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Rothia (OTU 870)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Akkermansia (OTU 877)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Firmicutes (OTU 946)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Corynebacterium (OTU 963)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Leptotrichia (OTU 1025)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteroides (OTU 1028)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 1030)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Gemella (OTU 1065)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 1071)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 1082)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Sphingomonas (OTU 1149)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lactobacillus (OTU 1178)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 1184)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Chitinophagaceae (OTU 1192)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Finegoldia (OTU 1206)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 1266)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 1281)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 1328)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Ruminococcaceae (OTU 1342)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Ruminococcaceae (OTU 1343)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Akkermansia (OTU 1415)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Proteobacteria (OTU 1451)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 1533)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteroides (OTU 1570)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Chitinophagaceae (OTU 1650)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 1653)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Peptoniphilus (OTU 1675)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 1720)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Akkermansia (OTU 1743)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Corynebacterium (OTU 1783)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Actinomyces (OTU 1786)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Corynebacterium (OTU 1793)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Granulicatella (OTU 1823)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 1835)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Firmicutes (OTU 1852)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Prevotella (OTU 1947)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Prevotella (OTU 1976)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Akkermansia (OTU 2237)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 2292)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Clostridiales (OTU 2346)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Neisseria (OTU 2359)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Ruminococcaceae (OTU 2370)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 2388)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 2449)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonas (OTU 2924)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Acetobacteraceae (OTU 2928)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 3238)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteria (OTU 3287)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 3524)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Clostridium_sensu (OTU 3592)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 3593)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteria (OTU 3691)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Marmoricola (OTU 3706)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 4549)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 4553)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Verrucomicrobia (OTU 4777)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Peptostreptococcaceae (OTU 5456)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 48)	1.7511963301279034	0.4166127419438971	2	Kruskal-Wallis rank sum test	0	0	0	0.48413273805204593
Porphyromonadaceae (OTU 6)	1.7379529108704597	0.4193805843595957	2	Kruskal-Wallis rank sum test	0	0	0.001	0.4856744224370576
Clostridiales (OTU 107)	1.699983088111158	0.4274185461609167	2	Kruskal-Wallis rank sum test	0	0	0	0.49328784265831827
Akkermansia (OTU 200)	1.6213991769549139	0.44454695748244133	2	Kruskal-Wallis rank sum test	0	0	0	0.5095657301754515
Streptococcus (OTU 354)	1.6248943006933645	0.44377076259230136	2	Kruskal-Wallis rank sum test	0	0	0	0.5095657301754515
Porphyromonadaceae (OTU 7)	1.5907865018481184	0.4514036850977755	2	Kruskal-Wallis rank sum test	0	0	0	0.5156713283998317
Ruminococcaceae (OTU 98)	1.5411604476795175	0.4627444950147234	2	Kruskal-Wallis rank sum test	0	0	0	0.5268408608782493
Porphyromonadaceae (OTU 175)	1.1906936290496186	0.5513713091258707	2	Kruskal-Wallis rank sum test	0	0	0	0.6092201022144867
Bacteroides (OTU 237)	1.1906936290496186	0.5513713091258707	2	Kruskal-Wallis rank sum test	0	0	0	0.6092201022144867
Porphyromonadaceae (OTU 258)	1.201773201773155	0.548325274846917	2	Kruskal-Wallis rank sum test	0	0	0	0.6092201022144867
Lactobacillus (OTU 294)	1.1906936290496186	0.5513713091258707	2	Kruskal-Wallis rank sum test	0	0	0	0.6092201022144867
Roseburia (OTU 319)	1.201773201773155	0.548325274846917	2	Kruskal-Wallis rank sum test	0	0	0	0.6092201022144867
Burkholderia (OTU 403)	1.1906936290496186	0.5513713091258707	2	Kruskal-Wallis rank sum test	0	0	0	0.6092201022144867
Bacteroidetes (OTU 442)	1.1906936290496186	0.5513713091258707	2	Kruskal-Wallis rank sum test	0	0	0	0.6092201022144867
Clostridiales (OTU 614)	1.1906936290496186	0.5513713091258707	2	Kruskal-Wallis rank sum test	0	0	0	0.6092201022144867
Bacteroides (OTU 974)	1.1906936290496186	0.5513713091258707	2	Kruskal-Wallis rank sum test	0	0	0	0.6092201022144867
Clostridiales (OTU 136)	1.1803231803230807	0.554237718135756	2	Kruskal-Wallis rank sum test	0	0	0	0.6103859836985287
Bacteroides (OTU 178)	1.0618753674310337	0.5880533030682349	2	Kruskal-Wallis rank sum test	0	0	0	0.643421958227257
Butyrivibrio (OTU 346)	1.0625053356759382	0.5878681047834037	2	Kruskal-Wallis rank sum test	0	0	0	0.643421958227257
Lachnospiraceae (OTU 75)	1.021750807362895	0.5999701327941256	2	Kruskal-Wallis rank sum test	0	0	0	0.6543363584194832
Clostridiales (OTU 251)	0.7887887887886947	0.6740881472208177	2	Kruskal-Wallis rank sum test	0	0	0	0.7190133045598198
Bacteria (OTU 310)	0.7884322678841625	0.6742083211896234	2	Kruskal-Wallis rank sum test	0	0	0	0.7190133045598198
Akkermansia (OTU 352)	0.7887887887886947	0.6740881472208177	2	Kruskal-Wallis rank sum test	0	0	0	0.7190133045598198
Corynebacterium (OTU 393)	0.7887887887886947	0.6740881472208177	2	Kruskal-Wallis rank sum test	0	0	0	0.7190133045598198
Porphyromonadaceae (OTU 497)	0.7887887887886947	0.6740881472208177	2	Kruskal-Wallis rank sum test	0	0	0	0.7190133045598198
Lachnospiraceae (OTU 576)	0.7887887887886947	0.6740881472208177	2	Kruskal-Wallis rank sum test	0	0	0	0.7190133045598198
Gemmata (OTU 741)	0.7884322678841625	0.6742083211896234	2	Kruskal-Wallis rank sum test	0	0	0	0.7190133045598198
Porphyromonadaceae (OTU 99)	0.7071223344763893	0.7021830406771501	2	Kruskal-Wallis rank sum test	0	0	0	0.7464848098050461
Bacteroidales (OTU 38)	0.6869467575750104	0.7093023633820262	2	Kruskal-Wallis rank sum test	0	0	0	0.751682064338814
Prevotella (OTU 191)	0.6215074647310533	0.7328943418028359	2	Kruskal-Wallis rank sum test	0	0	0	0.7742488814656918
Porphyromonadaceae (OTU 80)	0.6014807086017709	0.7402699557060715	2	Kruskal-Wallis rank sum test	0	0	0	0.7795967971029566
Lachnospiraceae (OTU 70)	0.5350017594224197	0.7652896573886391	2	Kruskal-Wallis rank sum test	0	0	0	0.803434936261593
Porphyromonadaceae (OTU 14)	0.5000071874240131	0.7787979842907091	2	Kruskal-Wallis rank sum test	0	0	0	0.815077393496798
Porphyromonadaceae (OTU 25)	0.4717365139932436	0.7898847288649008	2	Kruskal-Wallis rank sum test	0	0	0	0.8241212186609027
Phenylobacterium (OTU 332)	0.3805052537449691	0.8267502482298649	2	Kruskal-Wallis rank sum test	0	0	0	0.8599223260909397
Lachnospiraceae (OTU 120)	0.34150438484779233	0.8430304569232119	2	Kruskal-Wallis rank sum test	0	0	0	0.8741577353326843
Alistipes (OTU 18)	0.31035441109225925	0.8562634294100712	2	Kruskal-Wallis rank sum test	0	0	0	0.8824488553859143
Porphyromonadaceae (OTU 122)	0.31193452039703723	0.8555872016676065	2	Kruskal-Wallis rank sum test	0	0	0	0.8824488553859143
Bifidobacterium (OTU 28)	0.26034747774733447	0.8779428848613948	2	Kruskal-Wallis rank sum test	0	0	0	0.9020327810923476
Porphyromonadaceae (OTU 40)	0.23029376810245408	0.8912352260515956	2	Kruskal-Wallis rank sum test	0	0	0	0.912906599329446
Porphyromonadaceae (OTU 67)	0.1402372421482903	0.932283224909083	2	Kruskal-Wallis rank sum test	0	0	0	0.9520589296798817
Porphyromonadaceae (OTU 87)	0.1291908594100974	0.9374466497360477	2	Kruskal-Wallis rank sum test	0	0	0	0.9544396403657043
Porphyromonadaceae (OTU 15)	0.0953910418684226	0.9534240405483763	2	Kruskal-Wallis rank sum test	0	0	0	0.9648765815759843
Erysipelotrichaceae (OTU 39)	0.09559995420769618	0.9533244547263282	2	Kruskal-Wallis rank sum test	0	0	0	0.9648765815759843
Bacteria (OTU 168)	0.05919161170290562	0.970837861237589	2	Kruskal-Wallis rank sum test	0	0	0	0.9795579617876271
Clostridiales (OTU 173)	0.037302795293662525	0.9815214633025173	2	Kruskal-Wallis rank sum test	0	0	0	0.9873812929341742
Porphyromonadaceae (OTU 10)	0.026755003372094244	0.9867115794196551	2	Kruskal-Wallis rank sum test	0	0	0	0.9896482210250708
Porphyromonadaceae (OTU 44)	0.020528439776151083	0.9897882774486154	2	Kruskal-Wallis rank sum test	0	0	0	0.9897882774486154
Clostridium_sensu (OTU 53)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 116)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 123)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Dorea (OTU 134)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 135)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 137)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 140)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 149)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Acetatifactor (OTU 165)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Streptococcus (OTU 166)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 171)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridium (OTU 186)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 190)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Veillonella (OTU 192)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 194)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 197)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Firmicutes (OTU 198)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Actinobacillus (OTU 202)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Coriobacteriaceae (OTU 204)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 205)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 208)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 212)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Corynebacterium (OTU 213)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 214)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 215)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 220)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 222)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 223)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 224)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 225)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 226)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 227)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Dorea (OTU 229)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Streptococcus (OTU 230)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Fusobacterium (OTU 231)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 232)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Pasteurellaceae (OTU 233)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaerotruncus (OTU 234)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Oscillibacter (OTU 236)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lactobacillales (OTU 242)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 244)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 246)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Acetatifactor (OTU 247)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 248)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 249)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Akkermansia (OTU 250)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 253)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 254)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 255)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Faecalibacterium (OTU 262)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Coriobacteriaceae (OTU 265)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 266)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Acidaminococcus (OTU 267)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridium (OTU 268)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 269)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Firmicutes (OTU 270)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Olsenella (OTU 274)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 276)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Alistipes (OTU 277)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 278)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 280)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteroides (OTU 282)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 283)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales_Incertae_Sedis_XIII (OTU 284)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Veillonellaceae (OTU 286)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 287)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Alistipes (OTU 289)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 290)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 291)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 292)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 293)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 295)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 297)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Turicibacter (OTU 299)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 300)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 301)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaeroplasma (OTU 302)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 303)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 305)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Akkermansia (OTU 306)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 307)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcaceae (OTU 308)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteroides (OTU 309)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 311)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 312)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 313)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 314)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 316)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 317)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 318)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 321)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 322)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
