Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Porphyromonas gingivalis ATCC 33277 16S ribosomal RNA, partial sequence",Porphyromonas gingivalis ATCC 33277,207,207,100%,2e-53,81.57,1475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_074234.1?report=genbank&log$=nucltop&blast_rank=86&RID=44RT4XA6013"",""NR_074234.1"")"
"Porphyromonas gingivalis ATCC 33277 16S ribosomal RNA, partial sequence",Porphyromonas gingivalis ATCC 33277,207,207,100%,2e-53,81.57,1363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_114638.1?report=genbank&log$=nucltop&blast_rank=87&RID=44RT4XA6013"",""NR_114638.1"")"
"Porphyromonas gingivalis ATCC 33277 16S ribosomal RNA, partial sequence",Porphyromonas gingivalis ATCC 33277,207,207,100%,2e-53,81.57,1462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_114574.1?report=genbank&log$=nucltop&blast_rank=88&RID=44RT4XA6013"",""NR_114574.1"")"
"Pedobacter ginsengisoli strain Gsoil 104 16S ribosomal RNA, partial sequence",Pedobacter ginsengisoli,207,207,100%,2e-53,81.78,1430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041374.1?report=genbank&log$=nucltop&blast_rank=89&RID=44RT4XA6013"",""NR_041374.1"")"
"Pedobacter panaciterrae strain Gsoil 042 16S ribosomal RNA, partial sequence",Pedobacter panaciterrae,207,207,100%,2e-53,81.78,1463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041371.1?report=genbank&log$=nucltop&blast_rank=90&RID=44RT4XA6013"",""NR_041371.1"")"
"Dysgonomonas capnocytophagoides strain JCM 16697 16S ribosomal RNA, partial sequence",Dysgonomonas capnocytophagoides,207,207,100%,2e-53,81.57,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113133.1?report=genbank&log$=nucltop&blast_rank=91&RID=44RT4XA6013"",""NR_113133.1"")"
"Porphyromonas gingivalis strain JCM 12257 16S ribosomal RNA, partial sequence",Porphyromonas gingivalis,207,207,100%,2e-53,81.57,1493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113086.1?report=genbank&log$=nucltop&blast_rank=92&RID=44RT4XA6013"",""NR_113086.1"")"
"Parapedobacter composti strain 4M40 16S ribosomal RNA, partial sequence",Parapedobacter composti,207,207,100%,2e-53,81.78,1463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_108385.1?report=genbank&log$=nucltop&blast_rank=93&RID=44RT4XA6013"",""NR_108385.1"")"
"Parabacteroides merdae ATCC 43184 16S ribosomal RNA, partial sequence",Parabacteroides merdae ATCC 43184,202,202,100%,8e-52,81.25,1405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119166.1?report=genbank&log$=nucltop&blast_rank=94&RID=44RT4XA6013"",""NR_119166.1"")"
"Porphyromonas gingivalis strain DSM 20709 16S ribosomal RNA, partial sequence",Porphyromonas gingivalis,202,202,100%,8e-52,81.18,1453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119038.1?report=genbank&log$=nucltop&blast_rank=95&RID=44RT4XA6013"",""NR_119038.1"")"
"Pedobacter zeae strain 22 16S ribosomal RNA, partial sequence",Pedobacter zeae,202,202,100%,8e-52,81.32,1480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156064.1?report=genbank&log$=nucltop&blast_rank=96&RID=44RT4XA6013"",""NR_156064.1"")"
"Pedobacter ureilyticus strain THG-T11 16S ribosomal RNA, partial sequence",Pedobacter ureilyticus,202,202,100%,8e-52,81.32,1408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_134789.1?report=genbank&log$=nucltop&blast_rank=97&RID=44RT4XA6013"",""NR_134789.1"")"
"Bacteroides timonensis AP1 16S ribosomal RNA, partial sequence",Bacteroides timonensis AP1,202,202,100%,8e-52,81.10,1315,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144704.1?report=genbank&log$=nucltop&blast_rank=98&RID=44RT4XA6013"",""NR_144704.1"")"
"Saccharicrinis carchari strain SS12 16S ribosomal RNA, partial sequence",Saccharicrinis carchari,202,202,100%,8e-52,81.25,1483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_134164.1?report=genbank&log$=nucltop&blast_rank=99&RID=44RT4XA6013"",""NR_134164.1"")"
"Pedobacter mendelii strain CCM 8685 16S ribosomal RNA, partial sequence",Pedobacter mendelii,202,202,100%,8e-52,81.25,1474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156884.1?report=genbank&log$=nucltop&blast_rank=100&RID=44RT4XA6013"",""NR_156884.1"")"



		


